sequence_of_nodes,cost
"-1,223,277,905,1905,1223,1277,-2",2191.3980593166552
"-1,417,256,749,1256,1417,1749,-2",911.3736415707717
"-1,746,875,832,1746,1875,1832,-2",1091.216266132972
"-1,703,665,246,1246,1703,1665,-2",1754.2064309873306
"-1,513,970,1970,1513,-2",867.4033558770958
"-1,200,27,684,1684,1027,1200,-2",2697.1380361264646
"-1,786,979,459,1459,1979,1786,-2",2309.711426457831
"-1,932,251,352,1352,1251,1932,-2",2796.121935021989
"-1,289,306,524,1289,1306,1524,-2",2041.0573561039064
"-1,266,724,288,1288,1724,1266,-2",2507.759682494687
"-1,407,562,117,1562,1407,1117,-2",2034.5353562974192
"-1,307,641,553,1553,1307,1641,-2",1605.4325259233428
"-1,156,92,138,1138,1092,1156,-2",1788.2790673476095
"-1,727,709,335,1335,1727,1709,-2",1420.7373342642238
"-1,995,974,944,1944,1995,1974,-2",1156.5142474983218
"-1,484,597,989,1989,1597,1484,-2",2291.6414994468096
"-1,867,795,402,1867,1795,1402,-2",1917.909880596028
"-1,114,368,204,1368,1204,1114,-2",2058.0429567095275
"-1,271,760,846,1271,1760,1846,-2",2277.3832240093207
"-1,130,617,171,1130,1171,1617,-2",1744.9458878329162
"-1,515,642,326,1326,1642,1515,-2",1561.5003110559805
"-1,926,756,847,1926,1847,1756,-2",2815.603547441358
"-1,996,711,935,1996,1711,1935,-2",1399.822171729402
"-1,842,985,448,1985,1448,1842,-2",2387.3905788579873
"-1,942,388,422,1422,1388,1942,-2",3115.4542980468154
"-1,18,797,683,1683,1018,1797,-2",2243.072178489499
"-1,359,357,912,1359,1912,1357,-2",2125.6899479655954
"-1,657,893,221,1221,1893,1657,-2",1821.0643282982355
"-1,30,124,530,1530,1030,1124,-2",1958.6598224948095
"-1,216,789,37,1037,1789,1216,-2",1675.5498996380336
"-1,47,772,474,1474,1772,1047,-2",1694.8411200416058
"-1,914,954,321,1954,1321,1914,-2",2031.2438305380088
"-1,225,678,140,1678,1140,1225,-2",2115.5258255961658
"-1,902,967,538,1902,1538,1967,-2",1701.487107745318
"-1,373,651,994,1994,1373,1651,-2",2154.7932754606745
"-1,342,166,152,1152,1342,1166,-2",1297.6174413977874
"-1,607,939,197,1607,1197,1939,-2",1565.6732831621766
"-1,189,627,506,1506,1189,1627,-2",3355.467828520625
"-1,475,517,592,1517,1475,1592,-2",2582.0294384515496
"-1,79,662,419,1662,1079,1419,-2",2381.01504520952
"-1,830,713,922,1830,1922,1713,-2",2395.341050090006
"-1,347,12,923,1923,1347,1012,-2",2503.720896698953
"-1,844,363,911,1363,1844,1911,-2",1897.3499661250898
"-1,292,126,143,1126,1143,1292,-2",1536.9900474916412
"-1,918,725,336,1336,1725,1918,-2",1896.5299953332797
"-1,646,726,316,1316,1646,1726,-2",2776.5788843162295
"-1,211,894,917,1211,1894,1917,-2",2732.077944139893
"-1,603,514,764,1764,1603,1514,-2",2375.5251646695096
"-1,322,745,300,1300,1745,1322,-2",1836.3387504688303
"-1,445,414,586,1445,1586,1414,-2",2101.0225853816432
"-1,98,891,536,1891,1536,1098,-2",1540.668804977897
"-1,416,509,585,1416,1585,1509,-2",2447.583978065654
"-1,688,283,808,1283,1808,1688,-2",2087.3967933034296
"-1,820,333,478,1333,1820,1478,-2",2266.9497708619383
"-1,15,239,118,1239,1015,1118,-2",1958.1372849649892
"-1,111,31,892,1892,1031,1111,-2",2452.2581109557314
"-1,561,616,104,1104,1616,1561,-2",1388.8779129265904
"-1,51,83,496,1496,1083,1051,-2",2147.5441064865154
"-1,531,462,877,1877,1531,1462,-2",1778.1970144108257
"-1,969,685,857,1857,1969,1685,-2",2307.4557253120197
"-1,988,433,375,1375,1433,1988,-2",1867.8964985217624
"-1,436,305,596,1596,1436,1305,-2",1925.5500494487212
"-1,623,432,622,1622,1623,1432,-2",2112.633068867531
"-1,602,743,356,1356,1602,1743,-2",1664.2960391728984
"-1,72,539,533,1072,1533,1539,-2",2164.549181803035
"-1,281,978,945,1281,1945,1978,-2",1779.295291516984
